"The Anvil",信念之砧
"Craiceann's Carapace",奎爾珊硬甲
Greedtrap,貪婪之跡
"Fox's Fortune",狐毛之富
Panquetzaliztli,噸擊之錘
"Gorgon's Gaze",戈耳戈的凝視
Disintegrator,滅碎獠杖
Voidfletcher,虛眼箭矢
"Doedre's Malevolence",德瑞的惡意
"Farrul's Fur",費爾羅羽衣
"Atziri's Reflection",阿茲里的映照
"Fenumus' Shroud",菲恩絲魘甲
"Saqawal's Winds",斯卡沃之翼
"Cameria's Avarice",卡美利亞的貪婪
"The Stormwall",風暴堅牆
Stormfire,烈風暴
"The Dancing Duo",雙人舞
"The Tactician",智勇軍師
"The Nomad",游牧
Windshriek,風嘯
Indigon,地印之環
"Farrul's Bite",費爾羅咥喙
"Farrul's Pounce",費爾羅鋒爪
"Farrul's Chase",費爾羅獵靴
"Saqawal's Nest",斯卡沃之巢
"Saqawal's Talons",斯卡沃鷹爪
"Saqawal's Flock",斯卡沃之徒
"Fenumus' Toxins",菲恩絲獠牙
"Fenumus' Weave",菲恩絲夜織
"Fenumus' Spinnerets",菲恩絲刺靴
"Mark of the Elder",尊師之印
"Mark of the Shaper",塑者之印
"Chains of Command",統帥之鏈
"Mark of the Red Covenant",焰首支環
Loreweave,智者織衫
Voidforge,核虛
Mirebough,尼根
Sunspite,日咒
Timetwist,時空扭曲
Wildwrap,野變
"Crystal Vault",水晶寶庫
Dreadbeak,恐懼之喙
Frostferno,霜獄
Winterweave,冬織
Dreadsurge,畏懼波動
"Hyrri's Demise",西里的死亡
"Malachai's Awakening",瑪拉凱的覺醒
"Geofri's Devotion",吉爾菲的奉獻
"Sanguine Gambol",血腥之躍
Duskblight,日落破滅
"Asenath's Chant",安賽娜絲的歌頌
"Corona Solaris",日耀之冕
Sidhebite,斯拜特
"Meginord's Vigour",梅吉諾德的朝氣
Honourhold,榮耀之欲
"The Effigon",艾非根
Gluttony,貪食腰
"Story of the Vaal",瓦爾之序
"Fate of the Vaal",瓦爾之命
"Mask of the Spirit Drinker",魂飲化面
"String of Servitude",奴役之索
"Zerphi's Heart",澤佛伊之心
"Apep's Slumber",艾普之眠
"Slavedriver's Hand",奴役之手
"Tempered Flesh",冶鍊之體
"Coward's Chains",懦夫的鎖鏈
"Coward's Legacy",懦夫的遺產
"Earendel's Embrace",伊爾多恩的擁抱
"Sacrificial Heart",犧牲之心
"Mask of the Stitched Demon",惡縫之面
"Dance of the Offered",奉獻之舞
Omeyocan,歐門悠根
"Apep's Supremacy",艾普霸權
"Combat Focus",專精作戰
"Soul Catcher",追魂者
"Soul Ripper",碎魂者
"Zeel's Amplifier",薩爾的揚音
"Unyielding Flame",不屈惡火
"Sinvicta's Mettle",辛維塔之毅
"Architect's Hand",構築之手
Shadowstitch,縫影
"Tempered Spirit",冶鍊之靈
"Tempered Mind",冶鍊之意
"Transcendent Flesh",超凡之體
"Transcendent Spirit",超凡之靈
"Transcendent Mind",超凡之意
"The Grey Spire",斑駁蒼杖
"Cerberus Limb",獄犬殘肢
"The Primordial Chain",先祖羈絆
"Command of the Pit",闇核號令
"Mark of Submission",臣服之記
"Crown of the Tyrant",堂皇冠冕
"Demon Stitcher",縫魔
"Doryani's Delusion",多里亞尼的幻想
Soulwrest,鑄影
"Geofri's Legacy",吉爾菲的遺產
"Chaber Cairn",忠誠之記
"Aul's Uprising",奧爾的崛起
"Unnatural Instinct",神感
"Curtain Call",華麗閉幕
"The Iron Fortress",鋼鐵壁壘
"Perquil's Toe",珀奎爾的指頭
"Hale Negator",強彈辯駁
"The Eternal Apple",永恆的蘋果
Lawbreaker,破法者
"Precursor's Emblem",先引之征
"Malachai's Brilliance",瑪拉凱的聰慧
"Ahkeli's Mountain",阿卡莉的山巒
"Ahkeli's Meadow",阿卡莉的草原
"Ahkeli's Valley",阿卡莉的峽谷
"Putembo's Valley",普坦堡的峽谷
"Uzaza's Meadow",尤莎莎的草原
"Uzaza's Mountain",尤莎莎的山巒
"Uzaza's Valley",尤莎莎的峽谷
"Putembo's Mountain",普坦堡的山巒
"Putembo's Meadow",普坦堡的草原
"Ullr's Advent",烏勒爾之誕
"Bitterbind Point",苦綑畸點
"The Crimson Storm",緋紅風暴
"Solstice Vigil",守夜之至
Vivinsect,寄生惡魔
"Cinderswallow Urn",噬燼甕
Worldcarver,巧奪天工
Paradoxica,矛盾對決
"The Devouring Diadem",吞噬之冠
Flamesight,炎視
"The Queen's Hunger",女王的渴望
"Toxic Vapours",腐蝕之息
Farsight,遠視
Galesight,風視
Thundersight,雷視
Waycarver,刻劃精工
"Whakatutuki o Matua",養育之恩
Hyperboreus,極地束腹
"Storm's Gift",風暴之贈
Nebulis,銀河星雲
"Bottled Faith",瓶中信仰
"The Eternity Shroud",永恆屍布
"Vixen's Entrapment",雌狐的圈套
"Mask of the Tribunal",審判莊嚴
"Circle of Nostalgia",懷舊之環
"Hyrri's Truth",西里的真理
"March of the Legion",軍閥行軍
Perepiteia,極轉電刑
"Maloney's Mechanism",馬洛尼的機關
"Offering to the Serpent",蛇皮獻祭
"Garb of the Ephemeral",無常禮袍
"Circle of Regret",遺憾之環
"Circle of Anguish",煎熬之環
"Circle of Fear",恐懼之環
"Circle of Guilt",愧疚之環
"Demigod's Immortality",昇華不朽
"Glorious Vanity",輝煌的虛榮
"Militant Faith",激進的信仰
"Aukuna's Will",奧庫納之意
"Maw of Conquest",雛鳥之征
Tavukai,狂靈之怒
"Brutal Restraint",殘酷的紀律
"Elegant Hubris",優雅的高傲
"Lethal Pride",致命的驕傲
"Sign of the Sin Eater",罪孽嗜者之示
"Wreath of Phrecia",費西亞之環
"Seething Fury",沸騰之怒
"Fractal Thoughts",異想
"The Stampede",潰逃之靴
"Cold Iron Point",寒鋼之刃
"Triad Grip",三弦指法
"Badge of the Brotherhood",激情之章
"Icefang Orbit",冰風軌跡
"Fortress Covenant",堅壁誓約
Siegebreaker,突圍
"Machina Mitts",詭計魔手
"Torchoak Step",火柳之步
"Cowl of the Cryophile",酷寒斗篷
Venopuncture,脈絡針刺
"Rotting Legion",腐敗軍團
"Cowl of the Thermophile",嗜炎斗篷
"Cowl of the Ceraunophile",狂雷斗篷
"Quickening Covenant",復甦誓約
Breathstealer,偷息
Sporeguard,毒孢守衛
"The Jinxed Juju",惡咒護符
Cortex,深沉記憶
"Altered Distant Memory",遙遠記憶：編造
"Augmented Distant Memory",遙遠記憶：增幅
"Twisted Distant Memory",遙遠記憶：扭曲
"Rewritten Distant Memory",遙遠記憶：改寫
Manastorm,魔能暴風
"Hands of the High Templar",聖宗神手
"Leash of Oblation",祭品之繫
"Fury Valve",憤怒閉鎖
"Crown of the Inward Eye",暗眼之冠
Mistwall,迷霧之璧
"The Ivory Tower",象牙塔
"Astral Projector",星空之影
"Warrior's Legacy",戰士遺物
"Mother's Embrace",母親的擁抱
Painseeker,尋苦
"The Black Cane",黑藤
"The Saviour",救世主
"Eye of Malice",邪眼
Willowgift,柳木之禮
"Thread of Hope",希望之絃
Terror,恐懼
"Stalwart Defenders",忠誠護衛
Misinformation,以訛傳訛
"Irresistible Temptation",無法抗拒
"Territories Unknown",未曉疆域
"War Among the Stars",星間戰爭
"Booming Populace",繁榮庶民
"Ungils's Coil",恩吉爾的指環
"One With Nothing",一無所有
Voices,嗓音
Perfidy,背信忘義
"Algor Mortis",阿爾戈．莫堤斯
"Kitava's Teachings",奇塔弗的教學
"Split Personality",人格分裂
"The Interrogation",審問
"Profane Proxy",褻瀆之替
Assailum,刺殺
"Beacon of Madness",瘋癲之引
"Calamitous Visions",悲慘幻視
"Natural Affinity",天性
"The Siege",圍城
"Child of Violence",暴力之子
"The Front Line",前列的線
Megalomaniac,妄想症
Stillwater,止水
Battlehaste,迅戰
"Unearth Threshold",出土門閘
"Storm Secret",風暴之密
"Doryani's Prototype",多里亞尼之型
"Abhorrent Interrogation",悖逆審訊
"Great Old One's Tentacles",偉大老者之觸
Fleshcrafter,人體匠師
"Emperor's Vigilance",帝王的戒心
"The Immortal Will",不朽之意志
"The Tempest's Liberation",暴雨之解放
"The Torrent's Reclamation",奔流之開拓
"The Shattered Divinity",碎裂之神力
"The Surging Thoughts",湧浪之思想
"The Yielding Mortality",屈服之死相
"Forbidden Shako",禁忌軍帽
"Plume of Pursuit",追逐之羽
"Bear's Girdle",熊之束
"Witchhunter's Judgment",獵巫者的審判
"Scorpion's Call",毒蠍之喚
"The Felbog Fang",費爾博格獠牙
"Retaliation Charm",復仇誘惑
"Infused Beachhead",神域之殿．煉獄
"Law of the Wilds",野性法則
"Usurper's Penance",篡位者的懺悔
Corpsewalker,行屍走肉
"Chains of Emancipation",解放鏈
"Replica Iron Commander",贗品．鋼鐵指揮
"Replica Sorrow of the Divine",贗品．神聖哀悼
"Replica Lioneye's Paws",贗品．獅眼的鬥志
"Replica Abyssus",贗品．深淵之喚
Actum,談判
"Replica Atziri's Acuity",贗品．阿茲里的捷思
"Replica Kalisa's Grace",贗品．卡莉莎的優雅之影
"Replica Ambu's Charge",贗品．安姆布的戰甲
"Replica Bitterdream",贗品．苦夢
"Replica Tukohama's Fortress",贗品．圖克哈瑪堡壘
"Replica Shroud of the Lightless",贗品．晦暗的屍布
"Replica Soul Tether",贗品．靈魂束縛
"Maw of Mischief",頑皮裂齒獸
"Replica Kaom's Heart",贗品．岡姆的壯志
"Replica Malachai's Artifice",贗品．瑪拉凱的巧技
"Replica Atziri's Foible",贗品．阿茲里聖徽
"The Iron Mass",鐵塊
"The Druggery",純貨
"The Highwayman",高尚之人
"Replica Maloney's Mechanism",贗品．馬洛尼的機關
"Expedition's End",遠征之盡
"Replica Karui Ward",贗品．卡魯的戰徽
"Replica Winterheart",贗品．冬之心
"Replica Bated Breath",贗品．凝息
"Replica Tasalio's Sign",贗品．塔薩里之印
"Replica Emberwake",贗品．餘燼之痕
"Replica Voideye",贗品．虛空慧眼
"Replica Soul Strike",贗品．靈魂打擊
"Replica Perfect Form",贗品．完美姿態
"Replica Loreweave",贗品．智者織衫
"Replica Three-step Assault",贗品．三步突擊
"Replica Allelopathy",贗品．相生相剋
"Replica Alpha's Howl",贗品．極地之嗥
"Replica Forbidden Shako",贗品．禁忌軍帽
"Replica Soul Taker",贗品．開膛斧
"Replica Harvest",贗品．收割者
"Replica Quill Rain",贗品．驟雨之弦
"Replica Windripper",贗品．裂風
"Replica Bloodplay",贗品．血謔
"Replica Ungil's Gauche",贗品．恩吉爾的叉刃
"Replica Cold Iron Point",贗品．寒鋼之刃
"Replica Paradoxica",贗品．矛盾對決
"Replica Conqueror's Efficiency",贗品．征服者的迅捷
"Replica Tempestuous Steel",贗品．暴風之鋼
"Replica Innsbury Edge",贗品．茵斯布雷之刃
"Replica Reckless Defence",贗品．魯莽防禦
"Replica Restless Ward",贗品．無盡之衛
"The Ephemeral Bond",短期債券
"Replica Hyrri's Truth",贗品．西里的真理
"Replica Doedre's Damning",贗品．德瑞的魔具
"Replica Siegebreaker",贗品．突圍
"Replica Headhunter",贗品．獵首
"Replica Farrul's Fur",贗品．費爾羅羽衣
"Replica Eternity Shroud",贗品．永恆屍布
"Replica Alberon's Warpath",贗品．阿爾貝隆的征途
"Replica Stampede",贗品．潰逃之靴
"Replica Voidwalker",贗品．虛空行者
"Replica Grip of the Council",贗品．議會之握
"Replica Volkuur's Guidance",贗品．福庫爾的指引
"Replica Leer Cast",贗品．共鳴之面
"Replica Mistwall",贗品．迷霧之璧
"Replica Victario's Charity",贗品．維多里奧的貢獻
"Replica Last Resort",贗品．終息
"Replica Heartbreaker",贗品．裂心刃
"Replica Dreamfeather",贗品．幻夢飛羽
"Replica Earendel's Embrace",贗品．伊爾多恩的擁抱
"Replica Oro's Sacrifice",贗品．歐羅的貢品
"Replica Tulfall",贗品．托沃臥
"Replica Hotheaded",贗品．腦衝
"Replica Pure Talent",贗品．純才
"Replica Blood Thorn",贗品．血棘
Willclash,意志衝突
"Replica Red Trail",贗品．赤紅蹤跡
"Replica Bones of Ullr",贗品．烏勒爾之骨
"Replica Inya's Epiphany",贗品．茵雅的頓悟
"Replica Lavianga's Spirit",贗品．拉維安加之泉
"Replica Veil of the Night",贗品．夜幕
"Replica Fragile Bloom",贗品．脆弱的繁華
"Replica Prismweave",贗品．幻彩菱織
"Replica Advancing Fortress",贗品．超越壁壘
"Replica Allure",贗品．魅惑
"Replica Frostbreath",贗品．霜息
"Replica Trypanon",贗品．裂顱
"Replica Duskdawn",贗品．宵曉
"Replica Fencoil",贗品．綠藤
"Replica Twyzel",贗品．峽灣之星
"Replica Midnight Bargain",贗品．冥約
"Replica Rumi's Concoction",贗品．魯米的靈藥
"Replica Unstable Payload",贗品．不穩定承載
"Replica Blood Sacrifice",贗品．血犧
"Replica Cortex",贗品．深沉記憶
"Replica Pillars of Arun",贗品．艾倫之柱
"Replica Poorjoy's Asylum",贗品．沉淪之間
"Replica Cheap Construction",贗品．廉價建設
"Replica Primordial Might",贗品．先祖力量
"Pyroshock Clasp",烈焰衝擊鉤
"Mercenary's Lot",僱用兵之命
"Font of Thunder",雷霆聖器
Blunderbore,失誤之孔
"Replica Kongor's Undying Rage",贗品．康戈的戰炎
"Replica Nebulis",贗品．銀河星雲
"Replica Wings of Entropy",贗品．亂世之翼
"Fated End",命運終結
"Replica Infractem",贗品．穿雲
Shattershard,破碎之屑
"The Admiral",上將
"Contract: Jamanra's Rest",契約書：賈嫚拉之息
"Contract: Breaking the Unbreakable",契約書：攻破不破者
"Contract: Heart of Glory",榮譽之心
"Contract: The Slaver King",契約書：奴隸王
"Contract: Death to Darnaw",契約書：達爾奈之死
"Contract: The Twins",契約書：雙胞胎
"Lord of Steel",鋼鐵君主
"Endless Misery",無盡謎團
"Apex Mode",巔峰模式
"Nadir Mode",深淵模式
"The Hidden Blade",隱藏之劍
"Crest of Desire",慾望之冠
"The Fulcrum",支點
"The Ghastly Theatre",恐怖劇院
"The Fledgling",幼雛
"Leadership's Price",領導力的代價
"Demigod's Authority",半神權威
Blackflame,黯炎
"Legacy of Fury",傳承憤怒
"Hand of the Fervent",熱情之手
"Qotra's Regulator",卡特拉的守則
"Survivor's Guilt",倖存者的原罪
"Rotblood Promise",敗血承諾
"Ancient Skull",遠古骷髏
Goblinedge,妖精之緣
"Viridi's Veil",維里迪的薄紗
"Doppelgänger Guise",達佩爾甘格偽裝
"Arn's Anguish",昂恩的煩惱
"Olesya's Delight",奧莉西亞的喜悅
"Graven's Secret",格雷文的秘密
"The Vast Horizon",廣闊平地
"The Walls",城牆
"The Claim",索取
"The Builder",建造者
"The Closest Peak",近距高峰
"Restless Cycles",焦躁循環
"The False Hope",虛假希望
"Atop the Atlas",輿圖之巔
"Mahuxotl's Machination",瑪哈薩多的陰謀
"Glimpse of Chaos",混沌一瞥
"The Scales of Justice",正義天秤
"Cane of Kulemak",骷髏馬克的靈杖
"Tecrod's Gaze",特克羅德的邪眼
"Atziri's Rule",阿茲里的統御
"Ulaman's Gaze",烏拉曼的邪眼
Hateforge,怨恨鍛造
"Yaomac's Accord",堯馬克之權
"Temptation Step",誘惑步伐
"Relic of the Pact",古典冥約
"Amanamu's Gaze",阿姆那姆的邪眼
Steelworm,鐵幕蟲
"Kurgal's Gaze",柯戈的邪眼
"Triumvirate Authority",三體權威
Faithguard,信仰守護
"Cadigan's Crown",卡迪根皇冠
Nightgrip,夜之觸
"Medved's Challenge",梅德偉的挑戰
"Vorana's March",沃拉娜的軍隊
"Olroth's Charge",奧爾羅斯的衝刺
"Olroth's Resolve",奧爾羅斯的決心
"Starlight Chalice",星光聖杯
"Elixir of the Unbroken Circle",不破環之靈藥
"Vorana's Preparation",沃拉娜的醞釀
Stranglegasp,扼殺之息
"Uul-Netol's Vow",烏爾尼多之誓
Mageblood,魔血
"Stasis Prison",靜止牢籠
Gravebind,幽墓束縛
"The Squire",大地主
"The Oppressor",壓迫者
"Melding of the Flesh",血肉融合
"Crystallised Omniscience",晶化全知
"Sudden Dawn",黎明驟起
"The Annihilating Light",毀滅白光
"Ashes of the Stars",星塵
"Dissolution of the Flesh",血肉溶解
"Polaric Devastation",極地毀滅
"Forbidden Flame",禁忌烈焰
"Forbidden Flesh",禁忌血肉
"Ceaseless Feast",無盡盛宴
"Inextricable Fate",無法掙脫之命
"The Gluttonous Tide",饕餮浪潮
"Black Zenith",漆黑極頂
"Divine Inferno",神聖煉獄
Dawnbreaker,破曉
"The Hollow-Eyed Skull",挖眼髏骨
"The Basilisk",咒怨蛇妖
"The Angel of Vengeance",復仇天使
"The Burden of Truth",真理負擔
"Echoes of Creation",創造迴聲
"The Eternal Struggle",永恆鬥爭
"Call of the Void",虛空呼喚
"Impossible Escape",逃脫不能
"Sublime Vision",崇高願景
"The Epiphany",頓悟
"The Twisted Trinity",邪惡三體
"The Unbridled Tempest",狂風暴雨
"The Narcissist",孤芳自賞
"The Depraved",墮落
"The Raging Inferno",憤怒煉獄
Insomnia,失眠
"The Megalomaniac",自大狂
"The Arbiter",仲裁者
"The Infested",感染
Escalation,惡化
"The Benefactor",施主
"The Torturer"," 折磨者"
"The Ancient Angler",古代釣手
"Kaom's Spirit",岡姆之魂
"Soul Ascension",靈魂昇華
Ghostwrithe,鬧鬼
"The Tower of Ordeals",磨難之塔
"Kalandra's Touch",卡蘭德之觸
Thrillsteel,顫慄之鋼
"The Poised Prism",優雅迷鏡
Elevore,愛勒弗
"Will of Chaos",混沌意志
"Ignominious Fate",可恥之運
"Victorious Fate",勝利之運
"Deadly End",死局
"Rory's Revengance",羅里的復仇之途
"Mark2's Mastery",馬克的精銳戰意
"Robbie's Rotten Mace",羅比的腐敗釘錘
"Carl's Crusher",卡爾的破壞者
"DrTestapus' Charm",特塔普斯的幸運符
"Maligaro's Etcher",馬雷葛蘿的刻具
"The Warlord's Annex",總督軍的配件
"Annihilation's Approach",殲滅的方法
Anathema,咒詛
"Eternal Damnation",永恆的詛咒
Progenesis,生育
Witchbane,禍星女巫
"Entropic Devastation",熵毀滅
"Rational Doctrine",理性主義
Firesong,炔頌
Nimis,尼米斯
Stormshroud,風暴籠罩
"Oriath's End",奧瑞亞之終
Dawnstrider,晨行者
"The Winds of Fate",命定之風
"The Balance of Terror",恐怖平衡
"Sandstorm Visage",沙瀑面紗
Echoforge,核聲
"Wilma's Requital",威爾瑪的報復
"Doedre's Tongue",德瑞的毒舌
"Immutable Force",不變之力
"The Gilded Chalice",鍍金聖杯
"The Second Sacrament",第二聖事
"The Hour of Divinity",神聖時刻
"The Night Lamp",夜燈
"The Broken Censer",破香爐
"The First Crest",第一頂峰
"The Original Scripture",初始經文
"Original Sin",原罪
Stormseeker,風暴千尋
"Ancestral Vision",先祖預視
"Tainted Pact",汙穢契約
"Blood Price",血償
Widowhail,鰥寡之托
"El'Abin's Visage",伊蘭雅本的面紗
Soulbound,靈魂之絆
Bloodnotch,缺血症
"Tanu Ahi",埋火
"Ceinture of Benevolence",仁愛之心
"Bloodsoaked Medallion",血染勳章
"The Fourth Vow",第四誓願
"Orbala's Stand",奧爾巴拉的姿態
"Chain of Endurance",堅決鎖鏈
"The Geomantic Gyre",風水輪迴
"The Redblade",紅刃
"Bound Fate",命運繫帶
"Ikiaho's Promise",伊基亞呼的承諾
"Maata's Teaching",瑪塔的教導
"Tawhanuku's Timing",塔瓦努庫的時機
"Kahuturoa's Certainty",卡胡圖羅亞的確信
"Kaom's Binding",岡姆的束縛
"Akoya's Gaze",艾古亞的凝視
"Rakiata's Dance",萊基亞塔的舞步
"Ahuana's Bite",阿呼阿娜的咬痕
"Kiloava's Bluster",基洛阿瓦的咆嘯
"Utula's Hunger",烏圖拉的飢餓
"Defiance of Destiny",拒絕命運
"Honoured Alliance",榮耀同盟
"Warrior's Tale",戰士的故事
"Replica Dragonfang's Flight",贗品．龍牙翱翔
"The Blood of Innocence",善之血
"The Chains of Castigation",懲戒鎖鏈
"The Power and the Promise",權力和誓約
"The Trickster's Smile",戲法師的微笑
Pragmatism,實用主義
"The Untouched Soul",聖潔之魂
"Replica Covenant",贗品．血誓
"Replica Badge of the Brotherhood",贗品．激情之章
"Ixchel's Temptation",伊克契爾的誘惑
Gamblesprint,豪賭
"The Burden of Shadows",沉重陰影
"That Which Was Taken",霸佔
Nametaker,奪名
"The Flawed Refuge",瑕疵避難
"The Adorned",假掰
"Replica Hinekora's Sight",贗品．悉妮蔻拉之眼
"Replica Heatshiver",贗品．寒焰
"Replica Hyrri's Ire",贗品．西里的戰衣
"Replica Witchfire Brew",贗品．巫火秘釀
"Replica Pacifism",贗品．和平主義
"Replica Fragility",贗品．虛弱
"Replica Powerlessness",贗品．無力
Ambition,野心
Cooperation,協作
Beauty,美麗
Curiosity,好奇
"The Tides of Time",時間之潮
"The Celestial Brace",眾星援護
"Ravenous Passion",貪婪的激情
"Nevalius Inheritance",涅瓦里烏斯背向
"The Perandus Pact",普蘭德斯協議
"Grace of the Goddess",女神恩典
"The Hand of Phrecia",費西亞之手
"Veruso's Ambition",維盧梭的野心
"Grattus Signet",格拉圖斯之記
"The Apostate",叛教者
"The Devourer of Minds",心靈吞噬者
"The Tempest Rising",風暴崛起
"The Utmost",竭誠者
"Circle of Ambition",野心之環
"Curio of Decay",腐化之逸品
"Curio of Potential",野心之逸品
"Curio of Consumption",消耗之逸品
"Curio of Absorption",融合之逸品
"Ynda's Stand",英達的小販
Svalinn,史瓦林
"The Queller of Minds",心靈鎮壓者
"The Selfish Shepherd",自私牧羊人
"The Hateful Accuser",憎惡控告者
"The Light of Meaning",意涵之光
"The Living Blade",生者之刃
"Admiral's Arrogance",將軍的傲慢
"Tawhoa's Felling",塔赫亞的殞落
"Serle's Masterwork",瑟雷的傑作
"Sap of the Seasons",季節樹液
"Mightblood Ire",力血之怒
"Wildfire Phloem",野火韌皮
"The Battle Within",不可見之戰
"Grasping Nightshade",束縛夜影
"Kaom's Command",岡姆的命令
Bristleboar,鬃豬
"Daevata's Wind",德瓦塔之風
Innsmouth,印斯茅斯
"The Black Doubt",黑色之疑
"The Endless Night",無盡之夜
"The Knight-errant",漂泊騎士
"Winter's Bite",寒冬嚙蝕
Doomgate,末日之門
"Wylund's Stake",威倫德的木樁
"Erian's Cobble",埃里安的鵝卵石
Deathrattle,死亡之聲
"Merit of Service",服役功績
"Kitoko's Current",奇多可之流
Corpsewade,屍骨之靴
"Sands of Silk",絲綢之沙
"The Last Flame",終焉烈焰
"Apron of Emiran",埃米蘭之裙
Treefingers,樹木之指
"Couture of Crimson",緋紅訂製服
"The Wailing Wall",哀嚎之牆
Wulfsbane,狼之禍
Hoghunt,獵豬
Gloomform,幽暗之衣
"The Barrow Dweller",遺塚居民
"Radiant Grief",聖光哀痛
"Dusk Vigil",暗暮守夜
"Enfolding Dawn",晨曦之擁
"Sanguine Diviner",血色聖者
"Enezun's Charge",艾尼尊的衝鋒
Igniferis,烈焰之擊
"Ligurium Talisman",豐金巫符
"Rondel of Fragility",弱化圓飾
"Fixation of Yix",伊克斯的依戀
"Beacon of Azis",阿基斯的信標
Fireflower,火焰之花
"Idol of Uldurn",奧敦塑像
"The Everlasting Gaze",永恆凝視
"Revered Resin",崇敬樹脂
"Surefooted Sigil",穩健印記
"Midnight Braid",午夜護鏈
"Shavronne's Satchel",薛朗的背包
Keelhaul,船拖刑
"Birthright Buckle",天生權利扣環
Infernoclasp,地獄之握
Dustbloom,塵土之花
"Quatl's Molt",夸特之帶
"The Dancing Mirage",舞動幻影
"Redflare Conduit",紅焰導體
"Zerphi's Serape",澤菲披肩
"The Velvet Orchestra",天鵝絨交響樂團
Necromantle,亡者披肩
"Prayers for Rain",祈雨禱言
"Tetzlapokal's Desire",特沙波卡爾之慾
Blackbraid,黑辮
"Edyrn's Tusks",埃狄恩的曲牙
"Titanrot Cataphract",泰坦腐化重騎兵
"Coat of Red",腥紅外衣
Irongrasp,鐵握
"Pariah's Embrace",草民之擁
"Widow's Reign",寡婦統治
"Husk of Dreams",夢境軀殼
Waveshaper,浪湧塑形器
Briarpatch,薔薇眼罩
"Sibling Rivalry",手足相爭
Powertread,動力圖樣
Legionstride,帝國之靴
Trampletoe,踐踏之鞋
"Birth of Fury",憤怒的誕生
"Obern's Bastion",歐伯恩的壁壘
Shankgonne,香克戈涅
Timberwolf,灰狼之靈
"Falling Snow",落雪
Ironbound,鐵縛者
Splinterheart,裂心
"Dealer's Hand",商人之手
"Mist Whisper",迷霧低語者
"Rampart Raptor",壁壘猛禽
"Melting Maelstrom",融解漩渦
"Keeper of the Arc",電弧守護者
Olrovasara,歐洛瓦沙拉
"Threaded Light",縫紉之光
"Effigy of Cruelty",殘酷塑像
"Carrion Call",腐肉呼喚
Northpaw,北方之爪
"Grip of Winter",凜冬之握
"Idle Hands",遊手好閒
Plaguefinger,瘟疫之指
Killjoy,掃興之人
"Painter's Servant",畫家的侍從
Candlemaker,製燭者
Nightscale,夜鱗
Dreadfist,驚懼之拳
Jarngreipr,雅恩格利佩爾
Deathblow,致命一擊
"Aerisvane's Wings",艾瑞斯凡恩之翼
"Constricting Command",限制之令
"Visage of Ayah",艾雅面紗
"Forbidden Gaze",禁忌凝視
"Atziri's Disdain",阿茲里的蔑視
"Wings of Caelyn",凱林之翼
"Corona of the Red Sun",紅日之冕
"Gravis Grimace",面癱鬼臉
Greymake,灰製
"The Smiling Knight",微笑騎士
"The Vile Knight",惡劣騎士
"Crown of the Victor",勝者之冠
Bronzebeard,銅鬚
Cornathaum,科那索姆
"The Deepest Tower",深邃尖塔
"Brynhand's Mark",布林漢的印記
"Pulpit Pulper",講壇絞碎機
Trenchtimbre,壕溝之音
"Sculpted Suffering",雕刻苦難
"Seeing Stars",見證群星
Goldshaper,塑金者
Bluetongue,藍舌
"Solus Ipse",唯我論
"Sine Aequo",無與倫比
"Ab Aeterno",源於永恆
"The Sentry",哨兵
Matsya,摩蹉
"Nazir's Judgement",納齊爾的審判
"Wax and Wane",力量盛衰
Polcirkeln,極圈
"The Burrower",掘地者
"Perandus Seal",普蘭德斯之印
Glowswarm,發光蟲群
"Seed of Cataclysm",浩劫種子
Cracklecreep,裂紋怪客
"Blistering Bond",極熱護環
"Blessed Bonds",祝福之絆
"Rhea's Rhythm",蕾亞的旋律
"Font of Power",力量水晶塔
Heartseeker,刺心者
Dunkelhalt,唐克哈特
"Calgyra's Arc",凱爾捷拉之弧
Sunsplinter,烈日碎片
Nocturne,夜曲
"Rondel De Ezo",隆德爾．德．艾佐
Bloodbarrier,鮮血屏障
Silverthorne,銀白索恩
Mageguard,巫術衛士
Dionadair,捍衛者
"Wings of Vastiri",瓦斯提里之翼
"Window to Paradise",通往天堂之窗
"Arvil's Wheel",阿瓦爾之輪
"Feathered Fortress",羽毛堡壘
Oaksworn,橡誓者
"Crest of Ardura",阿杜拉之冠
"Herald of Wraeclast",瓦爾克拉斯之兆
Earthbound,地縛者
Grimgrasp,陰鬱之握
Trephina,崔非那
"The Empty Roar",空洞怒吼
Shyaba,沙阿巴
"Zerphi's Genesis",澤菲的創世紀
"The Wicked Quill",邪惡羽毛
"Rod of Enervation",衰弱之杖
"Serpent's Egg",毒蛇之卵
"The Mutable Star",多變之星
"The Eternal Spark",永恆火花
"The Dark Defiler",黑暗玷汙者
Bushwhack,突襲
"Horns of Bynden",賓登之角
"Luminous Pace",閃爍步伐
"The Hollow Mask",聖潔面具
"Wandering Reliquary",流浪寶庫
"Collapsing Horizon",崩塌的地平線
"Sacred Flame",神聖烈焰
"Atsak's Sight",阿札克之瞳
Thunderstep,雷霆步伐
Ironride,鐵騎
"The Immortan",永生者
Bitterbloom,苦心花
"Sierran Inheritance",錫耶拉的遺產
"Myris Uxor",米立斯之妻
"Mask of the Sanguimancer",占血之面
"Blueflame Bracers",藍焰護腕
"Serpent's Lesson",巨蛇教誨
"Whisper of the Brotherhood",意志低語
Levinstone,浮游石
