"Spectral Shield Throw",盾靈投擲
Crescendo,逐漸增強
"Deadly Poison",致命毒藥
"Window of Opportunity",機會之窗
Fusillade,聚靈之杖
"Combo Finisher",連擊終結輔助
Encumbrance,負擔輔助
Longshot,遠程射擊
Discombobulate,迷惑
"Break Posture",破壞姿態
Ingenuity,獨創
Glaciation,急凍化
"Energy Barrier",能量屏障
"Frost Nexus",冰霜匯聚
"Coursing Current",雷鳴湍流
"Magnified Effect",增幅效果
"Biting Frost",刺骨冰霜
Hourglass,沙漏
Fortress,堡壘
"Cold Exposure",冰冷曝曬
"Fiery Death",火熱死寂
"Frozen Vortex",凍結漩渦
"Shock Siphon",電擊虹吸
Frostfire,霜火
Stormfire,烈風暴
"Inevitable Critical",必定暴擊
"Elemental Discharge",元素解放
"Mana Flare",魔力閃焰
"Soul Thief",靈魂盜竊
"Minion Instability",復仇之靈
"Deep Freeze",深度冰凍
"Heightened Curse",增強詛咒
"Corpse Conservation",屍體保存
"Cold Infusion",冰冷灌注
"Arcane Tempo",秘能節奏
"Decaying Hex",腐朽咒術
"Focused Curse",專注詛咒
"Ritualistic Curse",儀式詛咒
"Minion Pact",召喚契約輔助
"Last Gasp",臨終恐息
Supercritical,超暴擊
"Chaos Infusion",混沌灌注
"Fire Mastery",火焰專精
"Cold Mastery",冰冷專精
"Lightning Mastery",閃電專精
"Chaos Mastery",混沌專精
"Physical Mastery",物理專精
"Minion Mastery",召喚物專精
"Chaotic Freeze",混沌冰凍
"Intense Agony",劇烈苦痛
"Drain Ailments",汲取異常狀態
Hinder,阻礙
Soulbreaker,破魂者
"Font of Blood",鮮血器皿
"Font of Mana",魔力器皿
"Font of Rage",盛怒器皿
"Holy Descent",神聖血統
"Burning Inscription",爆燃銘文
"Double Barrel",雙管
"Auto Reload",自動裝填
"Ammo Conservation",彈藥保存
"Nimble Reload",靈活裝填
"Fresh Clip",全新彈夾
"Sacrificial Lamb",獻祭羔羊
Upheaval,動亂
Despoiler,掠奪者
Ricochet,彈射
"Ancestral Urgency",先祖執著
"Long Fuse",長引線
Payload,承載
"Strip Away",剝奪
Ironwood,鐵木
"Considered Casting",細思施法
Wildshards,野性碎片
Icicle,冰柱
Glacier,冰河
Heft,分量
"Rising Tempest",崛起風暴
Extraction,提取
"Astral Projection",星空投影
"Practiced Combo",熟練連擊
Leverage,槓桿
Culmination,頂點
Potential,潛力
Expanse,廣闊區域
Excise,切除
Execrate,咒怨
"Energy Retention",能量保留
Ferocity,狂暴
Ablation,消融
"Danse Macabre",骷髏之舞
Capacitor,電容
Impetus,動力
"Expanding Ground",擴大地面
"Demon Magus",惡魔瑪格思
"Ferocious Roar",兇猛怒吼
"Cast on Shock",感電時施放
"Cast on Freeze",冰凍時施放
"Cast on Ignite",點燃時施放
"Cast on Critical",暴擊時施放
"Barrier Invocation",屏障祈願
"Cast on Dodge",閃避時施放
"Cast on Melee Stun",近戰擊暈時施放
"Summon Companion",召喚盟友
"Ancestral Warrior Totem",先祖戰士圖騰
"Cast on Minion Death",召喚物死亡時施放
"Hydra Familiar",九頭蛇近親
"Hand of Chayula",夏烏拉之手
"Elemental Invocation",元素祈願
"Reaper's Invocation",收割者的祈願
"Cast on Block",格擋時施放
"Enervating Nova",超能新星
"His Vile Intrusion",他的惡毒入侵
Impurity,不淨
Disengage,脫離戰鬥
"Blood Hunt",鮮血狩獵
"Lightning Spear",閃電長矛
"Glacial Lance",冰川之槍
"His Dark Horizon",他的黑暗視界
"Phantasmal Arrow",幻影箭矢
Snap,迸裂
"Rhoa Mount",恐喙鳥坐騎
Twister,旋風
"Explosive Spear",爆炸長矛
"Elemental Siphon",元素虹吸
"Thunderous Leap",雷霆跳躍
"Black Powder Blitz",火藥疾行
"Fortifying Cry",堅韌之吼
"His Scattering Calamity",他的散布災禍
"Spear Throw",長矛投擲
"Acidic Concoction",酸性靈藥
"Ritual Sacrifice",儀式獻祭
"Blood Boil",鮮血沸騰
"Inevitable Agony",命定苦痛
"Charge Regulation",充能調節
"Ravenous Swarm",貪婪蟲群
"Whirlwind Lance",旋風之槍
"Primal Strikes",原始打擊
"Cull The Weak",撲殺弱者
"Fangs of Frost",刺骨寒冰
"Wind Serpent's Fury",勁風蝮蛇之怒
Rake,陰爪
"Bloodhound's Mark",鮮血獵犬印記
"Tame Beast",馴獸
"Spear of Solaris",日耀長矛
"Storm Lance",風暴之槍
Parry,招架
"Elemental Sundering",元素崩裂
"Companion: {0}",盟友：{0}
"Trail of Caltrops",蒺藜之徑
"Elemental Surge",元素波動
"Chaotic Surge",混沌波動
"Manifest Weapon",幻化武器
"Supporting Fire",支援火力
"Temper Weapon",鍛鍊武器
"Void Illusion",虛空幻影
Convalescence,恢復期
"Removed Skill",已移除技能
"Gemini Surge",雙靈波動
"Bursting Fen Toad",爆發沼地蟾蜍
"Iron Ward",鋼鐵守護
"Ice Fragments",寒冰碎片
Icestorm,冰風暴
"Pinnacle of Power",力量巔峰
Requiem,安魂曲
"Heart of Ice",冰雪之心
"Forge Hammer",鍛造之錘
Fulmination,劇烈爆發
"Feast of Flesh",血肉盛宴
"Toxic Domain",毒素領域
"Ice-Tipped Arrows",冰鏃箭矢
"Valako's Charge",瓦拉庫的衝鋒
"Crackling Palm",閃光掌
Future-Past,未來昔日
"Runic Tempering",符文冶鍊
"His Winnowing Flame",他的飛舞烈焰
"His Foul Emergence",他的惡臭降臨
"Siphon Elements",虹吸元素
"Frost Darts",寒霜之鏢
"His Grave Command",他的緊急命令
"Soul Crystal: {0}",靈魂水晶：{0}
"Abyssal Apparition",深淵幻象
"Close Combat I","近身戰 I"
"Close Combat II","近身戰 II"
"Ignite I","點燃 I"
"Ignite II","點燃 II"
"Ignite III","點燃 III"
"Bleed I","流血 I"
"Bleed II","流血 II"
"Bleed III","流血 III"
"Bleed IV","流血 IV"
"Stun I","暈眩 I"
"Stun II","暈眩 II"
"Stun III","暈眩 III"
"Prolonged Duration I","延長持續時間 I"
"Prolonged Duration II","延長持續時間 II"
"Prolonged Duration III","延長持續時間 III"
"Compressed Duration I","縮短持續時間 I"
"Compressed Duration II","縮短持續時間 II"
"Rage I","盛怒 I"
"Rage II","盛怒 II"
"Rage III","盛怒 III"
"Atalui's Bloodletting",阿特路伊的出血
"Execute I","處刑 I"
"Execute II","處刑 II"
"Execute III","處刑 III"
"Searing Flame I","燒灼烈焰 I"
"Searing Flame II","燒灼烈焰 II"
"Behead I","斬首 I"
"Behead II","斬首 II"
"Einhar's Beastrite",埃哈的野獸儀式
"Jagged Ground I","碎裂地面 I"
"Jagged Ground II","碎裂地面 II"
"Fire Penetration I","火焰穿透 I"
"Fire Penetration II","火焰穿透 II"
"Enraged Warcry I","激怒戰吼 I"
"Enraged Warcry II","激怒戰吼 II"
"Fist of War I","拳霸 I"
"Fist of War II","拳霸 II"
"Fist of War III","拳霸 III"
"Life Leech I","生命偷取 I"
"Life Leech II","生命偷取 II"
"Life Leech III","生命偷取 III"
"Brutality I","野性殘暴 I"
"Brutality II","野性殘暴 II"
"Brutality III","野性殘暴 III"
"Meat Shield I","肉盾 I"
"Meat Shield II","肉盾 II"
"Brutus' Brain",布魯特斯的腦
"Eternal Flame I","永恆烈焰 I"
"Eternal Flame II","永恆烈焰 II"
"Eternal Flame III","永恆烈焰 III"
"Infernal Legion I","煉獄軍團 I"
"Infernal Legion II","煉獄軍團 II"
"Infernal Legion III","煉獄軍團 III"
"Fire Attunement",火焰同調
"Efficiency I","效率 I"
"Efficiency II","效率 II"
"Armour Demolisher I","護甲破壞者 I"
"Armour Demolisher II","護甲破壞者 II"
"Uruk's Smelting",厄羅克的鍛鍊
"Rageforged I","盛怒鍛造 I"
"Rageforged II","盛怒鍛造 II"
"Corrupting Cry I","汙染戰吼 I"
"Corrupting Cry II","汙染戰吼 II"
"Paquate's Pact",帕科特的協議
"Deep Cuts I","深度切割 I"
"Deep Cuts II","深度切割 II"
"Armour Break I","護甲破壞 I"
"Armour Break II","護甲破壞 II"
"Armour Break III","護甲破壞 III"
"Elemental Armament I","元素武裝 I"
"Elemental Armament II","元素武裝 II"
"Elemental Armament III","元素武裝 III"
"Vitality I","活力 I"
"Vitality II","活力 II"
"Herbalism I","藥草學 I"
"Herbalism II","藥草學 II"
"Cannibalism I","食人 I"
"Cannibalism II","食人 II"
"Aftershock I","餘震 I"
"Aftershock II","餘震 II"
"Aftershock III","餘震 III"
Shock,感電
"Pierce I","穿透 I"
"Pierce II","穿透 II"
"Pierce III","穿透 III"
"Multishot I","多重射擊 I"
"Multishot II","多重射擊 II"
"Nova Projectiles",新星投射物
"Poison I","中毒 I"
"Poison II","中毒 II"
"Poison III","中毒 III"
"Blind I","致盲 I"
"Blind II","致盲 II"
"Projectile Acceleration I","投射物加速 I"
"Projectile Acceleration II","投射物加速 II"
"Projectile Acceleration III","投射物加速 III"
"Projectile Deceleration I","投射物減速 I"
"Projectile Deceleration II","投射物減速 II"
"Vilenta's Propulsion",范尼達的奮進
"Overabundance I","過剩 I"
"Overabundance II","過剩 II"
"Overabundance III","過剩 III"
"Pin I","釘身 I"
"Pin II","釘身 II"
"Pin III","釘身 III"
"Chain I","連鎖 I"
"Chain II","連鎖 II"
"Chain III","連鎖 III"
"Second Wind I","恢復 I"
"Second Wind II","恢復 II"
"Second Wind III","恢復 III"
"Bounty I","寶物 I"
"Bounty II","寶物 II"
"Lightning Attunement",閃電同調
"Rapid Attacks I","疾速攻擊 I"
"Rapid Attacks II","疾速攻擊 II"
"Rapid Attacks III","疾速攻擊 III"
"Heightened Accuracy I","強化命中 I"
"Heightened Accuracy II","強化命中 II"
"Charge Profusion I","充能滿盈 I"
"Charge Profusion II","充能滿盈 II"
"Escalating Poison",遞增之毒
"Crescendo I","逐漸增強 I"
"Crescendo II","逐漸增強 II"
"Crescendo III","逐漸增強 III"
"Deadly Poison I","致命毒藥 I"
"Deadly Poison II","致命毒藥 II"
"Window of Opportunity I","機會之窗 I"
"Window of Opportunity II","機會之窗 II"
"Swift Affliction I","極速苦痛 I"
"Swift Affliction II","極速苦痛 II"
"Swift Affliction III","極速苦痛 III"
"Combo Finisher I","連擊終結輔助 I"
"Combo Finisher II","連擊終結輔助 II"
"Ailith's Chimes",艾里絲的管鐘
"Slow Potency",緩速強度
"Longshot I","遠程射擊 I"
"Longshot II","遠程射擊 II"
"Culling Strike I","撲殺 I"
"Culling Strike II","撲殺 II"
Daze,目眩
"Cooldown Recovery I","冷卻時間恢復 I"
"Cooldown Recovery II","冷卻時間恢復 II"
"Precision I","精準 I"
"Precision II","精準 II"
Freeze,冰凍
"Shock Conduction",感電傳導
"Magnified Area I","增幅光環 I"
"Magnified Area II","增幅光環 II"
"Concentrated Area",集中光環
"Fortress I","堡壘 I"
"Fortress II","堡壘 II"
"Ahn's Citadel",漢恩的城塞
"Feeding Frenzy I","豢養狂熱 I"
"Feeding Frenzy II","豢養狂熱 II"
"Cold Attunement",冰冷同調
"Rapid Casting I","疾速施法 I"
"Rapid Casting II","疾速施法 II"
"Rapid Casting III","疾速施法 III"
"Minion Pact I","召喚物契約 I"
"Minion Pact II","召喚物契約 II"
"Tecrod's Revenge",特克羅德的復仇
"Chaos Attunement",混沌同調
"Doedre's Undoing",德瑞的毀滅
"Clarity I","清晰 I"
"Clarity II","清晰 II"
"Double Barrel I","雙管 I"
"Double Barrel II","雙管 II"
"Double Barrel III","雙管 III"
"Ratha's Assault",菈妲的強襲
"Ammo Conservation I","彈藥保存 I"
"Ammo Conservation II","彈藥保存 II"
"Ammo Conservation III","彈藥保存 III"
"Arjun's Medal",亞瓊的獎章
"Fresh Clip I","全新彈夾 I"
"Fresh Clip II","全新彈夾 II"
"Sacrificial Lamb I","獻祭羔羊 I"
"Sacrificial Lamb II","獻祭羔羊 II"
"Branching Fissures I","分岔裂縫 I"
"Branching Fissures II","分岔裂縫 II"
"Upheaval I","動亂 I"
"Upheaval II","動亂 II"
"Kaom's Madness",岡姆的癲狂
"Lasting Ground",持續性地面
"Ricochet I","彈射 I"
"Ricochet II","彈射 II"
"Ricochet III","彈射 III"
"Urgent Totems I","應急圖騰 I"
"Urgent Totems II","應急圖騰 II"
"Urgent Totems III","應急圖騰 III"
"Long Fuse I","長引線 I"
"Long Fuse II","長引線 II"
"Potent Exposure",強力曝曬
"Reinforced Totems I","強化圖騰 I"
"Reinforced Totems II","強化圖騰 II"
"Wildshards I","野性碎片 I"
"Wildshards II","野性碎片 II"
"Sione's Temper",西奧妮的鍛鍊
"Culmination I","頂點 I"
"Culmination II","頂點 II"
"Sacrificial Offering",犧牲奉獻
"Energy Capacitor",儲能
"Boundless Energy I","無盡能量 I"
"Boundless Energy II","無盡能量 II"
"Harmonic Remnants I","和諧的痕跡 I"
"Harmonic Remnants II","和諧的痕跡 II"
Fluke,僥倖
"Ixchel's Torment",薩雷許的折磨
"Zenith I","極盛 I"
"Zenith II","極盛 II"
"Bidding I","出價 I"
"Bidding II","出價 II"
"Bidding III","出價 III"
Flow,流動
"Adhesive Grenades I","黏性擲彈 I"
"Adhesive Grenades II","黏性擲彈 II"
"Adhesive Grenades III","黏性擲彈 III"
Commandment,誡命
"Retaliate I","報復 I"
"Retaliate II","報復 II"
Tremors,威震
Salvo,齊射
Cadence,終止
Volt,電壓
"Bone Shrapnel",骨片
"Alignment I","聯合 I"
"Alignment II","聯合 II"
"Alignment III","聯合 III"
Derange,精神錯亂
"Charged Shots I","充能射擊 I"
"Charged Shots II","充能射擊 II"
"Profanity I","褻瀆 I"
"Profanity II","褻瀆 II"
"Burgeon I","萌發 I"
"Burgeon II","萌發 II"
"Steadfast I","穩若泰山 I"
"Steadfast II","穩若泰山 II"
Flamepierce,烈焰穿透
Freezefork,冰凍之叉
Stormchain,風暴之鏈
Verglas,冰淞
Embitter,激怒
Battershout,猛擊吶喊
Nadir,消沉
"Abiding Hex",永久咒術
"Rusted Spikes",銹蝕尖刺
"Crazed Minions",發狂召喚物
"Spectral Volley",靈體齊射
Rally,集結
Hoarfrost,白霜
Deathmarch,死亡行進
Acrimony,毒辣
"Concoct I","調製 I"
"Concoct II","調製 II"
Ambrosia,仙饌蜜酒
"Persistent Ground I","持續地面 I"
"Persistent Ground II","持續地面 II"
"Persistent Ground III","持續地面 III"
"Selfless Remnants",無私痕跡
"Remnant Potency I","痕跡強度 I"
"Remnant Potency II","痕跡強度 II"
"Remnant Potency III","痕跡強度 III"
Reverberate,回響
Clash,交鋒
Malady,疾病
Dazzle,目眩
Syzygy,朔望
Unyielding,屹立不搖
Desperation,絕望
Overextend,過分擴張
Excoriate,痛斥
Unbending,永不屈服
"Retreat I","撤退 I"
"Retreat II","撤退 II"
"Retreat III","撤退 III"
"Pursuit I","追擊 I"
"Pursuit II","追擊 II"
"Pursuit III","追擊 III"
Overreach,無遠弗屆
Commiserate,憐憫
Blindside,偷襲
"Hit and Run",打帶跑
"Defy I","違抗 I"
"Defy II","違抗 II"
"Crackling Barrier",電流屏障
Muster,召集
"Hulking Minions",巨大召喚物
Caltrops,蒺藜
Haemocrystals,血晶
Spar,打擊練習
Dauntless,無畏
"Magnetic Remnants",磁性痕跡
"Ancestral Call I","先祖怒嚎 I"
"Ancestral Call II","先祖怒嚎 II"
"Ancestral Call III","先祖怒嚎 III"
"Quill Burst",驟羽爆發
"Unsteady Tempo",不穩節奏
"Ancestral Aid",先祖援助
"Shocking Leap",震擊之躍
"Barbs I","倒刺 I"
"Barbs II","倒刺 II"
"Barbs III","倒刺 III"
Rime,霧淞
"Arms Length",伸手可及
"Charm Bounty",護符恩惠
"Thornskin I","荊棘之皮 I"
"Thornskin II","荊棘之皮 II"
"Mysticism I","秘術 I"
"Mysticism II","秘術 II"
"Direstrike I","極惡打擊 I"
"Direstrike II","極惡打擊 II"
"Upwelling I","湧升流 I"
"Upwelling II","湧升流 I"
"Warm Blooded",滿腔熱血
"Cool Headed",冷靜
"Strong Hearted",不屈之心
"Refraction I","折射 I"
"Refraction II","折射 II"
"Refraction III","折射 III"
"Greatwood I","大森林 I"
"Greatwood II","大森林 II"
Untouchable,無法觸碰
Unabating,勢頭不減
"Punch Through",透勁拳
Rip,撕毀
Tear,撕裂
"Brink I","邊緣 I"
"Brink II","邊緣 II"
Tireless,孜孜不倦
"Volcanic Eruption",火山迸發
"First Blood",浴血鬥士
"Frenzied Riposte",狂亂反擊
Hobble,跛行
"Heightened Charges",增強詛咒
Incision,切割
Catharsis,宣洩
"Delayed Gratification",延遲滿足感
Loyalty,忠誠
"Romira's Requital",羅米拉的報復
"Rearm I","重新佈署 I"
"Rearm II","重新佈署 II"
"Delayed Reaction",延遲反應
"Volatile Power",不穩定的力量
Gambleshot,博弈射擊
"Unerring Power",精準力量
Perfection,完美
Deliberation,審慎
"See Red",赤紅目光
"Short Fuse I","易怒 I"
"Short Fuse II","易怒 II"
Undermine,破壞
Outmaneuver,出奇制勝
"Mark for Death",死亡標記
Tumult,紛亂
Admixture,混合劑
"Stoicism I","堅忍 I"
"Stoicism II","堅忍 II"
"Relentless Rage",無盡怒火
Brambleslam,荊棘猛擊
Inhibitor,抑制劑
"Hardy Totems I","堅韌圖騰 I"
"Hardy Totems II","堅韌圖騰 II"
"Tawhoa's Tending",塔赫亞的照顧
"Encroaching Ground",進逼地面
"Living Lightning",活體閃電輔助
"Living Lightning II","活躍閃電 II"
"Frozen Spite",凍結怨恨
"Piety's Mercy",派蒂的慈悲
"Flame Pillar",火炎之柱
"Streamlined Rounds",子彈如流
"Perfected Endurance",絕對堅毅
"Enduring Impact I","堅忍衝擊 I"
"Enduring Impact II","堅忍衝擊 II"
Crater,隕石坑
"Vanguard I","無懼先鋒 I"
"Vanguard II","無懼先鋒 II"
"Crystalline Shards",結晶碎片
"Skittering Stone I","飛掠之石 I"
"Skittering Stone II","飛掠之石 II"
"Dialla's Desire",達拉的渴望
"Kalisa's Crescendo",卡莉莎的漸強
Durability,耐久
"Xoph's Pyre",索伏的燃焰
"Esh's Radiance",艾許的光芒
"Tul's Stillness",托沃的寧靜
"Uul-Netol's Embrace",烏爾尼多的擁抱
"Rakiata's Flow",萊基亞塔的流動
"Rigwald's Ferocity",瑞佛的狂暴
"Uhtred's Exodus",烏特雷的出走
"Uhtred's Omen",烏特雷的徵兆
"Uhtred's Augury",烏特雷的占卜術
"Daresso's Passion",德瑞索的熱情
"Atziri's Allure",阿茲里的魅惑
"Tacati's Ire",特卡蒂的憤怒
"Zarokh's Refrain",澤洛克的克制
"Garukhan's Resolve",卡洛翰的決心
"Kurgal's Leash",柯戈的繩索
"Kulemak's Dominion",骷髏馬克的支配
"Amanamu's Tithe",阿姆那姆的稅賦
"Varashta's Blessing",瓦拉什塔的祝福
"Arbiter's Ignition",仲裁者的燃灼
"Arakaali's Lust",艾爾卡莉之慾
"Cast on Elemental Ailment",元素異常狀態時施放
"Called Shots",預告射擊
"Curse on Block",格擋時詛咒
"Cast on Charm Use",使用護符時施放
"Thundergod's Wrath",雷神之怒
"Fire Spell on Hit",擊中時火焰法術
"Mortar Cannon",迫擊砲
"Wall of Force",力量之壁
Conflagration,燎原箭矢
"Kinetic Rain",力量驟雨
"Somatic Shell",心靈壁壘
Thunderstorm,天雷暴雨
"Kinetic Fusillade",力量猛射
"Order: To me!",命令：過來！
"Return to Dust",回歸塵土
"Seize the Flesh",肉身奪取
"Violent Desire",暴力渴望
"Tender Embrace",慈愛之擁
"Heart of Flame",烈炎之心
"His Burning Message",他的焚炎句語
"Call the Pyre",炎葬之喚
"The Grey Wind Howls",灰風咆嘯
"Wreathed in Light",光暈纏繞
"Glowing Silhouette",閃爍剪影
"Enervating Grasp",虛弱之握
"Overcharged Sinews",過載筋腱
"Dance in the White",白中之舞
"Falling Crystals",碎晶墜落
"The Great Avalanche",浩劫雪崩
"Preserving Stillness",靜守不移
"Focused Channelling",專注引導輔助
Windburst,風破輔助
"Kinetic Instability",力量紊亂輔助
"Molten Crash",熔岩破滅
"Shattering Spite",憎惡碎綻
Rend,撕扯
"Wolf Pack",召喚惡狼
"Cackling Companions",奸笑鬣狗群
Pounce,猛撲
"Tectonic Slams",震波猛擊
"Nova Projectiles I",新星投射物I
"Eonyr's Thunder",伊歐涅的雷霆
"Shock Conduction I",感電傳導I
"Shock Conduction II",感電傳導II
Expand,擴展
"Zarokh's Revolt",澤洛克的反叛
"Biting Frost I",刺骨冰霜I
"Biting Frost II",刺骨冰霜II
"Inexorable Critical I","無情暴擊 I"
"Inexorable Critical II","無情暴擊 II"
"Oisín's Oath",歐辛的誓言
"Ice Bite I","霜咬 I"
"Ice Bite II","霜咬 II"
"Bhatair's Vengeance",瓦特爾的復仇
"Hayoxi's Fulmination",荷霖蔡的轟鳴
"Zerphi's Infamy",澤佛伊的惡名
"Helbrym's Hide",海爾賓姆的躲藏
"Navira, the Last Mirage",最終幻象．納維拉
"Navira's Fracturing",納維拉的封凍
"Navira's Well",納維拉的水井
"Ruzhan, the Blazing Sword",赤炎利劍．魯兹安
"Ruzhan's Trap",魯兹安的陷阱
"Ruzhan's Reckoning",魯兹安的清算
"Ruzhan's Fury",魯兹安的怒火
"Kelari, the Tainted Sands",黯染飛砂．克拉里
"Kelari's Deception",克拉里的欺瞞
"Kelari's Judgment",克拉里的審判
"Kelari's Malediction",克拉里的惡言
"Align Fate",命運同調
"Moment of Vulnerability",可趁之刻
"Mirage Deadeye",幻影銳眼
"Guatelitzi's Ablation",瓜特利斯的消融
"Ambrosia II","仙饌蜜酒 II"
"Cirel's Cultivation",西瑞爾的耕植
"Splinter Totem I","殘片圖騰 I"
"Splinter Totem II","殘片圖騰 II"
"Mark for Death II","死亡標記 II"
"Static Shocks",靜電震盪
"Wing Blast",翅翼猛襲
"Oil Barrage",黏油轟擊
"Flame Breath",火焰吐息
Entangle,纏繞
Shred,裂碎
"Fury of the Mountain",山嶺之怒
"Cross Slash",縱橫劈斬
"Lunar Assault",月光突襲
"Primal Avatar",荒野化身
"Thrashing Vines",藤蔓痛打
"Lunar Blessing",月光賜福
"Arctic Howl",極地狂嚎
Electromagnetism,磁化電極
"Dominus' Grasp",神主的掌握
"Atziri's Call",阿茲里的呼喚
"Atziri's Communion",阿茲里的共融
"Atziri's Impatience",阿茲里的不耐
"Dreamer's Knell",幻夢者的喪鐘
"Tasalio's Rhythm",塔薩里奧的律動
"Xibaqua's Rending",賽巴昆的撕裂
"Khatal's Rejuvenation",卡塔爾的恢復
"Morgana's Tempest",魔甘娜的風暴
"Navira's Oasis",納維拉的綠洲
"Creeping Chill",寒冰蔓延
Briarpatch,荊棘叢
"Eternal Rage",無盡怒火
"Savage Fury",殘猛狂怒
"Walking Calamity",行走災厄
Apocalypse,壞滅災變
"Mark of Siphoning",汲取印記
"Mark of Siphoning II","汲取印記 II"
"Thrill of the Kill",殺戮渴望
"Thrill of the Kill II",殺戮渴望II
"Exposing Cry",暴露戰吼
"Opening Move",先聲奪人
"Accelerated Growth",飛速生長
"Accelerated Growth II",飛速生長II
"Fan The Flames",灼炎扇舞I
"Fan The Flames II",灼炎扇舞II
"Mirror of Refraction",鏡面折射
Barkskin,木質外膚
"Feral Invocation",野性祈求
"Poison Spores",劇毒孢子
"Deadly Resolve",致死決意
"Advancing Storm",推進風暴
"Echoing Cry",迴響戰吼
Gorge,峽谷
"Empowered Sparks I",強化電球I
"Empowered Sparks II",強化電球II
"Controlled Hazard",危險抑制
"Brittle Armour",易碎鎧甲
"Rending Apex",撕裂頂點
"Practical Magic I","實用魔法 I"
"Practical Magic II","實用魔法 II"
"Blazing Critical",燃焰暴擊
"Concussive Spells",震盪法術
"Eternal Mark",永恆印記
"Catalysing Elements",催化元素
"Nova Projectiles II",新星投射物II
"Charged Mark",蓄電印記
"Holy Sweep",神聖橫掃
"Holy Hammers",神聖之錘
"Shield of Light",聖光盾擊
"Holy Strike",神聖打擊
"Divine Blast",神聖爆破
"Multiple Projectiles",多重投射物輔助
"Greater Spell Cascade",高階秘能爆發輔助
Eclipse,朔望輔助
"Invert the Rules",規則逆反輔助
"Cast on Ward Break",保護破碎時施放輔助
Ward,保護輔助
"Vaal Sacrifice",瓦爾犧牲輔助
"Greater Spell Echo",高階施放迴響輔助
"Vaal Temptation",瓦爾誘惑輔助
Machinations,詭計輔助
Pyre,火葬輔助
Bonespire,骨刺輔助
Foulgrasp,邪穢之握輔助
Hiveborn,巢裔輔助
"Scornful Herald",輕蔑先鋒輔助
"Cull the Weak",弱者撲殺輔助
"Greater Ancestral Call",高階先祖怒嚎輔助
Fissure,裂隙輔助
Hextoad,咒蟾輔助
Hexpass,咒閃輔助
"Greater Fork",高階分裂輔助
"Greater Chain",高階連鎖輔助
"Lethal Dose",致命劑量輔助
Companionship,羈絆輔助
"Divine Sentinel",聖潔守望輔助
Annihilation,湮滅輔助
Edify,教化輔助
Invention,發明輔助
"Greater Kinetic Instability",高階力量紊亂輔助
"Cooldown Recovery",冷卻恢復輔助
Voidstorm,虛空風暴輔助
"Void Shockwave",虛空震波輔助
"Eldritch Blasphemy",異界詛咒光環輔助
Gluttony,暴食輔助
Overheat,過熱輔助
"Greater Multistrike",高階多重打擊輔助
Congregation,聚眾輔助
Frostmage,霜法輔助
"Greater Devour",高階吞噬輔助
Magnetism,磁能輔助
"Greater Unleash",高階釋放輔助
Pacifism,和平輔助
"Bloodsoaked Banner",浸血鬥旗輔助
"Harrowing Throng",哀慟群集輔助
"Unholy Trinity",不潔三體輔助
"Overloaded Intensity",超載強化輔助
Transfusion,輸血輔助
Excommunicate,放逐輔助
Exemplar,典範輔助
"Blessed Call",禮贈呼喚輔助
Hallow,聖徒輔助
